,Store,Units_Sold,sin,cos,Category_Clothing,Category_Electronics,Category_Home Goods,Day_of_Week_Friday,Day_of_Week_Monday,Day_of_Week_Saturday,Day_of_Week_Sunday,Day_of_Week_Thursday,Day_of_Week_Tuesday,Day_of_Week_Wednesday
25,102,62,0.9289767198167915,-0.37013815533991423,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26,103,28,0.9289767198167915,-0.37013815533991423,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29,103,26,0.8276889981568906,-0.5611870653623823,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
27,101,31,0.8276889981568906,-0.5611870653623823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
28,102,55,0.8276889981568906,-0.5611870653623823,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,101,31,-0.9289767198167914,-0.37013815533991445,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,102,55,-0.9289767198167914,-0.37013815533991445,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,103,26,-0.9289767198167914,-0.37013815533991445,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36,103,30,-0.9985334138511239,0.0541389085854167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
39,103,25,-0.9635499925192231,0.2675283385292201,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37,101,40,-0.9635499925192231,0.2675283385292201,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38,102,55,-0.9635499925192231,0.2675283385292201,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,103,15,-0.8835120444460228,0.4684084406997903,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
40,101,35,-0.8835120444460228,0.4684084406997903,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
41,102,60,-0.8835120444460228,0.4684084406997903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
43,101,28,-0.7621620551276362,0.6473862847818279,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,102,42,-0.7621620551276362,0.6473862847818279,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,103,18,-0.7621620551276362,0.6473862847818279,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,101,32,-0.6051742151937649,0.796093065705644,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,102,37,-0.6051742151937649,0.796093065705644,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
48,103,22,-0.6051742151937649,0.796093065705644,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,102,53,-0.41988910156026493,0.9075754196709569,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,103,20,-0.41988910156026493,0.9075754196709569,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,101,29,-0.41988910156026493,0.9075754196709569,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,101,33,-0.21497044021102438,0.9766205557100867,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
53,102,47,-0.21497044021102438,0.9766205557100867,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
54,103,25,-0.21497044021102438,0.9766205557100867,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,102,62,-2.4492935982947064e-16,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
30,101,38,-2.4492935982947064e-16,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,103,28,-2.4492935982947064e-16,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
